Utterance,Intent,Training/Testing,ML Entity
pay the full thing,pay_amount,Training,
just pay 100 dollars,pay_amount,Training,
do $100,pay_amount,Training,
make it $100,pay_amount,Training,
make a 100 dollar payment,pay_amount,Training,
pay the $100,pay_amount,Training,
pay the balance,pay_amount,Training,
pay my $100 balance,pay_amount,Training,
i can only pay minimum?,pay_amount,Training,
pay off the remaining balance,pay_amount,Training,
the balance,pay_amount,Training,
all of it,pay_amount,Training,
the whole outstanding balance,pay_amount,Training,
only the minimum,pay_amount,Training,
only the minimum outstanding balance,pay_amount,Training,
minimum balance,pay_amount,Training,
100 bucks,pay_amount,Training,
the balance of the card,pay_amount,Training,
pay it off in full,pay_amount,Training,
pay it off completely,pay_amount,Training,
the total amount,pay_amount,Training,
letʻs do the whole balance,pay_amount,Training,
pay the whole balance 625.52,pay_amount,Training,
minimun 35$,pay_amount,Training,
pay 75$ on the balance,pay_amount,Training,
25 dollars the minimun,pay_amount,Training,
minimuim payment 30 bucks,pay_amount,Training,
half of minimum which is 12.50,pay_amount,Training,
"half of my balance, not half of minimum",pay_amount,Training,
only the minimum of 36.00,pay_amount,Training,
make 100 dollar payment,pay_amount,Testing,
can i just pay 100 dollars today,pay_amount,Testing,
can i do $100,pay_amount,Testing,
pay the balance in full,pay_amount,Testing,
i would like to pay the minimum balance,pay_amount,Testing,
$100,pay_amount,Testing,
pay the total balance,pay_amount,Testing,
pay my balance of 100 dollars,pay_amount,Testing,
just the minimum balance,pay_amount,Testing,
the remaining balance,pay_amount,Testing,
total,pay_amount,Testing,
pay entire balance please,pay_amount,Testing,
only pay the minimum 49.00,pay_amount,Testing,
$75 towards my minimum,pay_amount,Testing,
the entire outstanding balance,pay_amount,Testing,
$100 payment,pay_amount,Testing,
pay off my total balance,pay_amount,Testing,
the whole thing,pay_amount,Testing,
the minimum,pay_amount,Testing,
pay it all off,pay_amount,Testing,
iʻm ready to pay my credit card bill,pay_credit_card,Training,
I have a credit card bill coming up that i would like to pay,pay_credit_card,Training,
need to take care and pay for the amex card,pay_credit_card,Training,
se up my payment to my amex card for 100 dollars,pay_credit_card,Training,
pay the total balance of the credit card,pay_credit_card,Training,
go ahead and pay the credit card bill for me,pay_credit_card,Training,
i want to pay the amex credit card bill,pay_credit_card,Training,
i want to pay the full amount on my amex,pay_credit_card,Training,
set up the payment for my credit card bill,pay_credit_card,Training,
can you walk through the process for paying a credit card,pay_credit_card,Training,
make a payment to my credit card,pay_credit_card,Training,
make a payment to my amex card,pay_credit_card,Training,
pay the credit card bill in full,pay_credit_card,Training,
pay the 100 dollar credit card bill,pay_credit_card,Training,
pay full balance on my credit card,pay_credit_card,Training,
i need to pay my credit card,pay_credit_card,Training,
I wantt to pay 100 to amex but from my baby account,pay_credit_card,Training,
help me pay my credit card bill,pay_credit_card,Training,
pay credit card 120 bucks from alt account,pay_credit_card,Training,
i want to pay off my credit card,pay_credit_card,Training,
Pay my Visa bill,pay_credit_card,Training,
pay $100 to the credit card bill,pay_credit_card,Training,
pay credit card for 100 dollars,pay_credit_card,Training,
payoff the credit card,pay_credit_card,Training,
my credit card bill needs paid off,pay_credit_card,Training,
i want to pay my credit card bill,pay_credit_card,Training,
help me take care of that credit card bill,pay_credit_card,Training,
trying to pay my balance,pay_credit_card,Training,
make a credit card payment of 100 dollar,pay_credit_card,Training,
"i need to make a payment, pull it from my checking please",pay_credit_card,Training,
credit card payment due today,pay_credit_card,Training,
make a payment of 100 to credit card but not from my main account,pay_credit_card,Training,
i have a bill I want to pay,pay_credit_card,Training,
pay my credit card for 100 dollars,pay_credit_card,Training,
full payment made to my amex card,pay_credit_card,Training,
help me pay off my credit card,pay_credit_card,Training,
i want to pay my credit card bill with my savings account,pay_credit_card,Training,
"my credit card bill is $100, can you help me pay that",pay_credit_card,Training,
iʻm going to pay my credit card balance,pay_credit_card,Training,
pay the $100 amex bill,pay_credit_card,Training,
Pay my visa card bill,pay_credit_card,Training,
pay 100 toward the balance i have on my credit card,pay_credit_card,Training,
pay off the amex bill,pay_credit_card,Training,
"amex card, pay that bill",pay_credit_card,Training,
pay 100 to my Visa card,pay_credit_card,Training,
pay toward the balance of my credit card,pay_credit_card,Training,
pay that credit card bill that is due today,pay_credit_card,Training,
transfer 500 from my checking to pay credit card,pay_credit_card,Training,
make a paymen toward the credit card,pay_credit_card,Training,
payment toward the credit card bill,pay_credit_card,Training,
walk me through paying the credit card,pay_credit_card,Training,
payoff my visa credit card in full,pay_credit_card,Training,
can you send a payment to visa credit card from my account,pay_credit_card,Training,
pay $100 on my amex card,pay_credit_card,Training,
100 dollar payment to credit card,pay_credit_card,Training,
pay this 100 dollar credit card bill i have,pay_credit_card,Training,
pay 100 dollats to my credit card,pay_credit_card,Training,
balance of my credit card needs paid off,pay_credit_card,Training,
pay the full amount of the credit card bill,pay_credit_card,Training,
send 100 over to pay my Chase card,pay_credit_card,Training,
I need to use my College savings account to pay my Visa credit card in the amount of $500,pay_credit_card,Training,
pay my credit card balance of 100 dollars,pay_credit_card,Training,
i want to pay a bill but itʻs from he second account,pay_credit_card,Training,
i canʻt see my credit card in the app but wanted to process a payment,pay_credit_card,Training,
I want to make a payment of $400 from my checking to my Propel credit card,pay_credit_card,Training,
can you help me with my credit card bill,pay_credit_card,Training,
I want to pay a bill,pay_credit_card,Training,
$100 dollars paid to my credit card,pay_credit_card,Training,
pay the balance of my credit card,pay_credit_card,Training,
I want to pay 100 toward the balance of my credit card,pay_credit_card,Training,
pay my credit card $100,pay_credit_card,Training,
payment of $100 to the credit card bill,pay_credit_card,Training,
i want to pay off an amount on my credit card,pay_credit_card,Training,
i need to make a payment on my master card,pay_credit_card,Training,
make a payment to the 100 dollar amex bill,pay_credit_card,Training,
i need to pay my credit card bill,pay_credit_card,Training,
pay half of my credit cardʻs balance,pay_credit_card,Training,
help make a payment on my chase credit card,pay_credit_card,Training,
make a payment toward my credit card,pay_credit_card,Training,
help pay the credit card for me,pay_credit_card,Training,
"credit card bill is coming up, can you help me pay it",pay_credit_card,Training,
make payment to the amex card for 100 dollars,pay_credit_card,Training,
pay my bills,pay_credit_card,Training,
payment to credit card for 100 dollars,pay_credit_card,Training,
Pay my credit card,pay_credit_card,Training,
make a full payment to my credit card bill,pay_credit_card,Training,
credit card payment make it 100 dollars,pay_credit_card,Training,
need to pay for my amex card real quick,pay_credit_card,Training,
how do i send a payment from my baby account,pay_credit_card,Training,
I would like to pay off my credit card,pay_credit_card,Training,
pay 100 from my checking to my credit card,pay_credit_card,Training,
put 100 dollars on my credit card bill,pay_credit_card,Training,
i need to take care of my credit card bill,pay_credit_card,Training,
i need to payoff my credit card,pay_credit_card,Training,
credit card payment of 100 dollars,pay_credit_card,Training,
pay the amex card in full,pay_credit_card,Training,
make payment of $100 to my amex credit card,pay_credit_card,Training,
my credit card needs paid,pay_credit_card,Training,
take care of the credit card bill for me,pay_credit_card,Training,
pay the rest of whatʻs on my credit card,pay_credit_card,Training,
I need to pay 100 to credit card but take it from savings,pay_credit_card,Training,
"i want to pay my amex, 1000 from checking",pay_credit_card,Training,
pay off the balance on my credit card,pay_credit_card,Training,
pay the amex card off,pay_credit_card,Training,
Make a credit card payment,pay_credit_card,Training,
send a payment to my credit card,pay_credit_card,Training,
pay the full amount for my credit card,pay_credit_card,Training,
pay the amex bill,pay_credit_card,Training,
pay 100 of the Chase credit card bill,pay_credit_card,Training,
i need to pay the amex bill,pay_credit_card,Training,
my Chase credit card bill needs paid,pay_credit_card,Training,
pay credit card,pay_credit_card,Training,
pay my visa credit card,pay_credit_card,Training,
payment to cover the full balance of my credit card bill,pay_credit_card,Training,
how can I make a payment from my savings,pay_credit_card,Training,
Pay $100 to my visa credit card bill,pay_credit_card,Training,
how do i select my baby account to make a payment to amex,pay_credit_card,Training,
how do I pay my credit card on here,pay_credit_card,Training,
set up a payment for the credit card bill that is due,pay_credit_card,Training,
i only want to pay 100 dollars toward my credit card,pay_credit_card,Training,
I need to put 100 toward my Amex bill,pay_credit_card,Training,
i need to make a payment toward by credit card,pay_credit_card,Training,
I have to pay the balance on my credit card today,pay_credit_card,Training,
how do I select an account to make a payment from,pay_credit_card,Training,
pay 100 dollars on my credit card,pay_credit_card,Training,
pay half of my MasterCard bill,pay_credit_card,Training,
pay the rest of the credit card balance,pay_credit_card,Training,
pay 100 dollars toward the balance of my visa card,pay_credit_card,Training,
i need the credit card bill paid,pay_credit_card,Training,
pay the credit card bill using my checking account please,pay_credit_card,Training,
I'd like to make a payment on my Propel credit card,pay_credit_card,Training,
need to pay my Propel credit card bill,pay_credit_card,Training,
would like to make a Mastercard payment on here,pay_credit_card,Training,
Can I pay my Mastercard monthly statement right from the app,pay_credit_card,Training,
make payment to my Visa card,pay_credit_card,Training,
want to pay off my Visa,pay_credit_card,Training,
credit card payment due today need to pay it now,pay_credit_card,Training,
would like to pay my american express card off,pay_credit_card,Training,
how do I make a payment to my american express card,pay_credit_card,Training,
pay $250 towards my Visa,pay_credit_card,Training,
make credit card payment,pay_credit_card,Training,
how do I make a Mastercard payment via the app,pay_credit_card,Training,
send money from checking to pay my american express bill for this month,pay_credit_card,Training,
hi can you please give instructions on how to pay my credit card via my phone,pay_credit_card,Training,
need instructions or help to completely pay off my mastercard,pay_credit_card,Training,
hi I'd like to just pay the minimum towards my credit card this month how do I do that,pay_credit_card,Training,
pay the minimum on my credit card,pay_credit_card,Training,
make a minimum payment that's due today for my credit card,pay_credit_card,Training,
can I completely pay off my credit card right now here on the app on my phone,pay_credit_card,Training,
pay the statement amount for my credit card,pay_credit_card,Training,
make the paymen for my credit card,pay_credit_card,Testing,
Send 400 to amex from my other account,pay_credit_card,Testing,
I want to pay off my credit card in full,pay_credit_card,Testing,
i want to put 100 dollars on my credit card bill,pay_credit_card,Testing,
pay off the rest of the credit card balance,pay_credit_card,Testing,
help me pay credit card bill balance for this month,pay_credit_card,Testing,
pay minimum from checking for my credit card,pay_credit_card,Testing,
make payment of 100 to the credit card bill,pay_credit_card,Testing,
i want to pay off my amex card in full,pay_credit_card,Testing,
payoff the amex card for me,pay_credit_card,Testing,
make a payment please,pay_credit_card,Testing,
make 100 dollar payment toward the credit card,pay_credit_card,Testing,
Help me set up a payment for my visa credit card,pay_credit_card,Testing,
i need to pay my visa credit card bill of 100 dollars,pay_credit_card,Testing,
make a payment for the rest of the balance on my amex card,pay_credit_card,Testing,
make a payment of 100 dollars on my american express credit card,pay_credit_card,Testing,
could you send a 100 dollars paymentt to amex from account B,pay_credit_card,Testing,
the amex bill needs to be paid,pay_credit_card,Testing,
letʻs take care of the amex credit card bill,pay_credit_card,Testing,
I would like to pay my credit card bill,pay_credit_card,Testing,
My card is stolen. Help,replace_card,Training,
i lost my card. can you help me,replace_card,Training,
Iʻve lost my card and need a new one,replace_card,Training,
I need to replace my card,replace_card,Training,
Need to cancel my card and get a new one because I lost mine,replace_card,Training,
"i canʻt locate my card since march 12, need a new one",replace_card,Training,
since I lost my debit card can you help me get a replacement,replace_card,Training,
What do I do if my card is stolen,replace_card,Training,
I think that my card is stolen. What are my next steps,replace_card,Training,
i need a new card,replace_card,Training,
can I get a new credit card,replace_card,Training,
Someone stole my card,replace_card,Training,
what happens if i have my card stolen,replace_card,Training,
"I canʻt seem to find my card, it might be lost",replace_card,Training,
i canʻt find my debit card,replace_card,Training,
I believe that my card has been stolen,replace_card,Training,
i lost my card n need a new one,replace_card,Training,
need to replace debit card,replace_card,Training,
help me order a new debit card,replace_card,Training,
Report stolen card,replace_card,Training,
Can you provide information for freezing my card immediately,replace_card,Training,
Replacement card for my lost debit,replace_card,Training,
Someone took my card without my permission,replace_card,Training,
please help me. my card is missing,replace_card,Training,
can you help me retrieve my card,replace_card,Training,
kid destroyed my card and I need a new one asap,replace_card,Training,
I misplaced my debit card today,replace_card,Training,
help. I lost my card,replace_card,Training,
Help me. I lost my card. What should I do,replace_card,Training,
need a new credit card lost mine somewhere two days ago,replace_card,Training,
i lost my wallet and need a new card sent to me,replace_card,Training,
I think my card is stolen,replace_card,Training,
"I donʻt know where my card went to, can you help me get a new one",replace_card,Training,
Help. I fear that my card was stolen,replace_card,Training,
"how do i get a new card, mine is lost",replace_card,Training,
I lost my wallet and all of my cards were in it,replace_card,Training,
My card was lost on vacation. I donʻt know where it is. Can you help me take care of this immediately,replace_card,Training,
could you assist me in finding my lost card,replace_card,Training,
"lost my visa card at the airport yesterday at the airport, can I order a replacemen",replace_card,Training,
someone took my card without permission,replace_card,Training,
What can I do if I lost my card,replace_card,Training,
what do i need to do to get a replacement card,replace_card,Training,
oh my god. i lost my card. what should i do,replace_card,Training,
What do I do if my card has been lost or stolen,replace_card,Training,
"can i replace my card, i canʻt find it",replace_card,Training,
I lost my card and need a replacement,replace_card,Training,
I lost track of my card,replace_card,Training,
I lost my debit card,replace_card,Training,
replacing a lost debit card,replace_card,Training,
Is there any way for you to find my card,replace_card,Training,
what should I do if my card is stolen,replace_card,Training,
Misplaced my card and need to cancel it and order a new one,replace_card,Training,
i want to block my card or deactivate it or something. Itʻs been stolenand I donʻt want it misused. I want this handled right away,replace_card,Training,
"help, lost my card",replace_card,Training,
My card was stolen,replace_card,Training,
I canʻt find my credit card,replace_card,Training,
"Need a new card, I lost mine",replace_card,Training,
i need to replace my lost card,replace_card,Training,
what do I do if myy card was stolen,replace_card,Training,
How can I report that my card was stolen. I made a apolice report first,replace_card,Training,
"Turn off my debit card, it was stolen",replace_card,Training,
Myy card has been lost. Help,replace_card,Training,
How do I replace a stolen card,replace_card,Training,
"i am traveling soon and need a card replacement, lost my card this morning",replace_card,Training,
Lost my card,replace_card,Training,
Can you help me replace a lost card,replace_card,Training,
can you mail me a new card,replace_card,Training,
"I cannot find my card, what do I do",replace_card,Training,
need a new card my old one was stolen last week,replace_card,Training,
I lost my debit card and need a replacement,replace_card,Training,
I canʻt find my card. Is it lost?,replace_card,Training,
if I lose my debit card can you help me get a replacement,replace_card,Training,
my card has been lost / stolen,replace_card,Training,
lost card yesterday need replacement,replace_card,Training,
I need a replacement for the credit card that was stolen,replace_card,Training,
my card cannot be found,replace_card,Training,
Could you please freeze my card immediately,replace_card,Training,
i need a replacement debit card for the one that was lost,replace_card,Training,
"i need help, I lost my card",replace_card,Training,
I think my wallet fell ot on the tube today. i realized as soon as I got to my desk. How do I cut off the card,replace_card,Training,
"lost card, next steps",replace_card,Training,
I seem to have lost my card,replace_card,Training,
My card has been stolen what do I do?,replace_card,Training,
Help me replace he card I lost please,replace_card,Training,
need help replacing a lost card,replace_card,Training,
I lost my credit card and need to replace it,replace_card,Training,
my card is missing,replace_card,Training,
Someone stole my wallet with my card in it while I was on vacation. I really need my card blocked and a new one ordered,replace_card,Training,
can you help me get a new card for the one I lost,replace_card,Training,
Iʻve lostt my card and need to order a new one,replace_card,Training,
My card is missing. Please help.,replace_card,Training,
Somebody stole my credit card yesterday,replace_card,Training,
i canʻt find my card. what should I do,replace_card,Training,
need a new credit card,replace_card,Training,
My wallet was stolen along with my cards. How do I put a freeze on my cards and order a new one,replace_card,Training,
how do I report my card as lost or stolen,replace_card,Training,
What should I do if I think my card was stolen,replace_card,Training,
need help with a stolen card,replace_card,Training,
"can you send me a new card, I lost my old one",replace_card,Training,
Iʻm panicking! I lost my card. Help,replace_card,Training,
If I lose my credit card can you help me replace it,replace_card,Training,
"need to replace my savings account debit card, canʻt find it",replace_card,Training,
Who can I speak with regarding a lost card,replace_card,Training,
how do i deactivate a stolen card,replace_card,Training,
what should i do. my card has been stolen,replace_card,Training,
help replacing a lost debit card,replace_card,Training,
I have lost my card. What is the next step,replace_card,Training,
I lost my card,replace_card,Training,
i think that my card was stolen,replace_card,Training,
My card is missing. Help,replace_card,Training,
"My card has been stolen. I reported it with the poice, but I need to report it with you as well",replace_card,Training,
"replacing a lost card, help",replace_card,Training,
"i need to replace my credit card, I lost it",replace_card,Training,
"canʻt find my card, can i get a replacement",replace_card,Training,
"i lost my card, what do I do now?",replace_card,Training,
I need to replace my debit card,replace_card,Training,
Can you send me a new card and block my old one. My wallet was stolen,replace_card,Training,
My bag got stolen with all of my cards. Can you please cancel my card and send a new one,replace_card,Training,
"is it possible to replace a card on the app, lost it last week",replace_card,Training,
"i want another card, my old one is gone, canʻt find it",replace_card,Training,
my card was stolen last night,replace_card,Training,
Card lost,replace_card,Training,
I left my card at a restaurant and now itʻs missing,replace_card,Training,
what are the steps I need to do if I have a stolen card,replace_card,Training,
"I donʻt know where my card is, I think itʻs lost",replace_card,Training,
My card has gone missing,replace_card,Training,
"my card was stolen today, i need a new one",replace_card,Training,
Can you turn off my debit card since itʻs lost,replace_card,Training,
Lost card,replace_card,Training,
my debit card is lost and I need a new one,replace_card,Training,
i think my card is lost. what do i do,replace_card,Training,
I think I lost my debit card last week. can I get a new one?,replace_card,Training,
card is missing,replace_card,Training,
stolen card,replace_card,Training,
card went missing,replace_card,Training,
"need help, can't find my credit card",replace_card,Training,
misplaced my credit card,replace_card,Training,
credit card is lost somewhere inside my house,replace_card,Training,
son took my card and now he can't find it,replace_card,Training,
can't locate my credit card,replace_card,Training,
don't know location of my card,replace_card,Training,
left my card at the bar,replace_card,Training,
forgot my card at a restaurant,replace_card,Training,
need to turn off my card,replace_card,Training,
card got stolen need to order a replacement,replace_card,Training,
need a replacement card since mine got stolen this afternoon,replace_card,Training,
would like to cancel a stolen card and order a new one please,replace_card,Training,
wallet was stolen and need to cancel cards and order new ones,replace_card,Training,
want to cancel all my cards because my son lost them both,replace_card,Training,
cancel cards and get replacements,replace_card,Training,
help me repolacing a lost card,replace_card,Testing,
can I get a new card my dog ate mine last night,replace_card,Testing,
Whatʻs the phone number to freeze a card,replace_card,Testing,
if my card gets stolen what are the steps I should follow,replace_card,Testing,
I need to report a stolen card,replace_card,Testing,
my card was stolen and I need a replacement,replace_card,Testing,
i canʻt find my card,replace_card,Testing,
My card was stolen. What do I need to do,replace_card,Testing,
My card is lost. Please help me,replace_card,Testing,
my card was lost can i get another one in the branch,replace_card,Testing,
My card was stolen and I need to order a new one,replace_card,Testing,
I need to order a new card as my other one was stolen,replace_card,Testing,
My credit card was stolen yesterday,replace_card,Testing,
what is the first step I should take after my card has been stolen,replace_card,Testing,
"can you help me to replace a card? not sure where I put mine, been looking since yesterday",replace_card,Testing,
i canʻt find my card. Can you help?,replace_card,Testing,
Help. My card is stolen,replace_card,Testing,
I misplaced my card yesterday,replace_card,Testing,
Iʻve lost my card. What can I do abot that,replace_card,Testing,
I think someone stole my card because I canʻt find it,replace_card,Testing,
i lost my target plus card,replace_card,Testing,card_merchant
i need a replacement for the amazon card,replace_card,Testing,card_merchant
somebody stole my capital one business card,replace_card,Testing,card_merchant
iʻve misplaced my walmart rewards card,replace_card,Testing,card_merchant
the united airlines credit card is nowhere to be found,replace_card,Testing,card_merchant
my credit card from amazon is missing,replace_card,Testing,card_merchant
my credit card for capital one was stolen,replace_card,Testing,card_merchant
some thief took my hm credit card,replace_card,Testing,card_merchant
can you set a reminder for me to pay that,set_reminder,Training,
can you remind the day before it驶s due,set_reminder,Training,
make a reminder today,set_reminder,Training,
remind me to pay that,set_reminder,Training,
i驶ll need you to remind me to pay this,set_reminder,Training,
i驶m not going to remember to pay this,set_reminder,Training,
remind me to pay that the day before it驶s due,set_reminder,Training,
remind me when it驶s due,set_reminder,Training,
set up a reminder for me,set_reminder,Training,
remind me to pay it,set_reminder,Training,
i can驶t pay it now can youu remind me later,set_reminder,Training,
just remind me to do it later,set_reminder,Training,
remind later,set_reminder,Training,
remind me to take care of it tomorrow,set_reminder,Training,
remind me next week,set_reminder,Training,
can驶t pay it now remind me to pay when it驶s due,set_reminder,Training,
"i驶ll pay it later, remind me when it is due",set_reminder,Training,
going to pay it next week remind me then,set_reminder,Training,
i驶ll pay next week remind me then please,set_reminder,Training,
please remind me on thursday to pay it,set_reminder,Training,
can you set a reminder,set_reminder,Training,
remind me next time I have a payment due,set_reminder,Training,
"for next time, can you remind me to pay it",set_reminder,Training,
remind me to pay this next Monday once my paycheck clears,set_reminder,Training,
I need you to remind me to pay this on the 1st of next month,set_reminder,Training,
need to set an alarm to remind me to pay this next Wednesday,set_reminder,Training,
need a reminder set to tell me to pay this on Saturday,set_reminder,Training,
remind me on Sunday to pay this,set_reminder,Training,
set a reminder for Monday the 15th to pay it then,set_reminder,Training,
remind me to pay this on the 20th of the month,set_reminder,Training,
set a reminder three days before this is due so I can pay it early,set_reminder,Training,
can you remind me to pay this a couple days early next time,set_reminder,Training,
Set up recurring reminders to pay this on the 15th of each month,set_reminder,Training,
remind me,set_reminder,Training,
is it possible for you to remind me when I need to pay this,set_reminder,Training,
is it a possibility to set an alarm or calendar reminder to pay this every month,set_reminder,Training,
do you have a payment reminder system that I can use,set_reminder,Training,
remind me to pay this on the first of each month please,set_reminder,Training,
create a reminder,set_reminder,Training,
can you remind me to pay this tomorrow,set_reminder,Training,
can you set a reminder for me,set_reminder,Testing,
Set an alarm or reminder for my next due date please,set_reminder,Testing,
remind me next month please,set_reminder,Testing,
can you remind me to pay it on wednesday,set_reminder,Testing,
my memory isnʻt great can you remind me,set_reminder,Testing,
remind me to pay it when itʻs due,set_reminder,Testing,
remind me to pay it next week,set_reminder,Testing,
remind me on Tuesday,set_reminder,Testing,
i canʻt pay until next week can you remind me then,set_reminder,Testing,
can you remind me to pay this next Friday,set_reminder,Testing,
set a reminder to pay this next Thursday,set_reminder,Testing,
can you set a calendar reminder for me to pay this on the 17th of every month,set_reminder,Testing,
Want to set a reminder of when this is due each month,set_reminder,Testing,
I want you to remind me to pay this on the 15th of the month,set_reminder,Testing,
iʻm going to need a reminder please,set_reminder,Testing,
can you remind me to pay it later,set_reminder,Testing,
set reminder,set_reminder,Testing,
remind me next time,set_reminder,Testing,
remind me to do it tomorrow,set_reminder,Testing,
send me a reminder when itʻs due,set_reminder,Testing,
text is fine,text_email,Training,
send an email confirmation,text_email,Training,
is it possilbe to gett an email,text_email,Training,
iʻd prefer an email,text_email,Training,
just text message,text_email,Training,
send a text,text_email,Training,
text for confirmation,text_email,Training,
send it to my phone,text_email,Training,
send it via text,text_email,Training,
text message is fine,text_email,Training,
email is easier,text_email,Training,
text message please,text_email,Training,
iʻd like a text message,text_email,Training,
texts are better for me,text_email,Training,
an email would be best,text_email,Training,
emails are better,text_email,Training,
send me emails,text_email,Training,
i prefer emails,text_email,Training,
iʻd prefer texts,text_email,Training,
send an e mail,text_email,Training,
do an e mail,text_email,Training,
can you do an e mail,text_email,Training,
let's do e mail,text_email,Training,
just do it over e mail,text_email,Training,
text it to my phone number,text_email,Training,
text it to me,text_email,Training,
I like texts better,text_email,Training,
I prefer the texts messages,text_email,Training,
texts are preferable,text_email,Training,
let's go with texts,text_email,Training,
send me a text please,text_email,Training,
text me the info,text_email,Training,
I would like a text,text_email,Training,
Please send a text,text_email,Training,
iʻd like a text reminder,text_email,Training,
remind me with an email,text_email,Training,
i prefer text messages,text_email,Training,
emails work better for me,text_email,Training,
a text message is the best bet,text_email,Training,
texts are the best bet,text_email,Training,
i would like texts sent to me,text_email,Training,
email is my preference,text_email,Training,
rather have text,text_email,Training,
text more prevelent,text_email,Training,
I prefer emil,text_email,Training,
main choice text,text_email,Training,
can we do text,text_email,Training,
per text,text_email,Training,
through email,text_email,Training,
text,text_email,Testing,
email,text_email,Testing,
e mail,text_email,Testing,
text it,text_email,Testing,
i like texts,text_email,Testing,
email confirmation,text_email,Testing,
confirmation via email,text_email,Testing,
i would like an email,text_email,Testing,
just send it as a text message,text_email,Testing,
iʻd like an email please,text_email,Testing,
via texts is better,text_email,Testing,
text messages are best,text_email,Testing,
I want texts,text_email,Testing,
send me a text message,text_email,Testing,
I do better with text,text_email,Testing,
text works better,text_email,Testing,
I want it via e mail,text_email,Testing,
send me an email,text_email,Testing,
email is preferred,text_email,Testing,
email me please,text_email,Testing,
my backup savings account,,Training,account_name
go to my everyday checking account,,Training,account_name
can i see my platinum savings account,,Training,account_name
i need to see my portfolio checking account,,Training,account_name
the baby savings,,Training,account_name
iʻd like to see my secret savings account,,Training,account_name
from emergency savings acct,,Training,account_name
use the main checking account,,Training,account_name
take a look at my wifeʻs account,,Training,account_name
pull up the retirement savings account,,Training,account_name
dumb question but how do I see how much I have in my main checking account with you guys,,Training,account_name
can you tell me how much I have on alt account now,,Training,account_name
balance of emergency savings acct,,Training,account_name
i want to check my balance but not on my main account,,Training,account_name
Show my my balance on piggybank,,Training,account_name
need to check balance of college savings account,,Training,account_name
would like to know how much is in my college savings account,,Training,account_name
would like to know balance of my husbandʻs account,,Training,account_name
how much do i have in my retirement account,,Training,account_name
need to check balance of my vacation account,,Training,account_name
need to check the balance of my main savings account,,Training,account_name
what's the balance on my main savings account,,Training,account_name
show me balance of college savings acct please,,Training,account_name
Still something on acount B? havenʻt checked in awhile,,Training,account_name
my baby account balance,,Training,account_name
How do I see my baby account balance,,Training,account_name
How much left on my baby account,,Training,account_name
iʻd like my husbandʻs account,,Training,account_name
my main account,,Training,account_name
the vacation account,,Training,account_name
use my backup account,,Training,account_name
from the college savings acct,,Training,account_name
from my new car savings acct,,Training,account_name
i'd like my wife's acct,,Training,account_name
can i see my car savings account,,Training,account_name
I want to see my christms account,,Training,account_name
please show my primary checking,,Training,account_name
need to see secondary savings,,Training,account_name
can i see my fun account,,Training,account_name
i wanna see my backup account,,Training,account_name
show my checking account balance for vacation,,Training,account_name
i want to see my everyday checking,,Training,account_name
my everyday checking acct,,Training,account_name
show my everyday checking,,Training,account_name
can you make that portfolio checking instead,,Training,account_name
portfolio checking account,,Training,account_name
go to my preferred checking account,,Training,account_name
"preferred checking account, please",,Training,account_name
go to my platinum savings please,,Training,account_name
need to view my platinum savings,,Training,account_name
how much is in my emergency savings account,,Training,account_name
trying to figure out how much i still have on my backup account,,Training,account_name
need to see my preferred checking,,Training,account_name
my clear access banking acct,,Training,account_name
whatʻs the balance on my wifeʻs account,,Training,account_name
tell me the balance on vacation savings account,,Training,account_name
how much is there in the baby account,,Training,account_name
how much money is there in my college savings account,,Training,account_name
what is available in my secret account,,Training,account_name
balance in the savings account for my wife,,Training,account_name
give me the balance in the account for vacation,,Training,account_name
how much have we saved in our retirement account,,Training,account_name
our new home account has how much in it,,Training,account_name
how much money does my wife have in her account,,Training,account_name
show the vacation account,,Training,account_name
show my husbandʻs checking account,,Training,account_name
look up the balance on my vacation account,,Training,account_name
pull up the second checking account,,Training,account_name
look at the rainy day account,,Training,account_name
misplaced my hotels.com rewards visa card,,card_merchant,
hotels.com rewards card,,card_merchant,
i lost my target plus card,,card_merchant,
i need a replacement for the amazon card,,card_merchant,
somebody stole my capital one business card,,card_merchant,
iʻve misplaced my walmart rewards card,,card_merchant,
the united airlines credit card is nowhere to be found,,card_merchant,
hotels.com rewards card,,card_merchant,
my credit card from amazon is missing,,card_merchant,
my credit card for capital one was stolen,,card_merchant,
some thief took my hm credit card,,card_merchant,
it was my walmart credit card,,card_merchant,
my amazon card,,card_merchant,
the frontier credit card,,card_merchant,
frontier rewards,,card_merchant,
amazon card,,card_merchant,
iʻm talking about my walmart card,,card_merchant,
the home depot credit card,,card_merchant,
misplaced my hotels.com rewards visa card,,card_merchant,
i donʻt shop at target,,,merchant
i never go to old navy,,,merchant
amazon purchases werenʻt me,,,merchant
i bought something from walmart,,,merchant
the amazon transaction was me,,,merchant
i donʻt even shop at old navy,,,merchant
i didnʻt buy anything from rei,,,merchant
i never went to kmart,,,merchant
i don't recognize the cvs one,,,merchant
the walgreens one wasn't me,,,merchant
the kmart purchase wasnʻt me,,,merchant
the target one is me,,,merchant
i recognize the kmart purchases,,,merchant
target was me,,,merchant
i made the purchase from walmart,,,merchant
i went to walmart that day,,,merchant
looks good i made the purchase from tjmaxx,,,merchant
I didn't make that Macy's purchase,,,merchant
